Statement,Link,Date,Source,Label
Video shows crisis actors in Palestine “working overtime to fool the world” during the current Israel-Hamas war.,https://www.politifact.com/factchecks/2023/oct/24/instagram-posts/video-doesnt-show-palestinian-crisis-actors-its-fr/,N/A,Instagram posts,false
"Video shows University of Pennsylvania students chanting, “We want Jewish genocide.”",https://www.politifact.com/factchecks/2023/oct/24/viral-image/no-upenn-rally-did-not-call-for-jewish-genocide/,N/A,Viral image,false
"Las empresas solares en Estados Unidos ""tienen que regalar paneles solares sin costo neto si lo solicitas"".",https://www.politifact.com/factchecks/2023/oct/24/facebook-posts/no-te-dejes-enganar-las-empresas-solares-no-tienen/,N/A,Facebook posts,false
Black flag hoisted over a mosque in Iran is a “call to all of Islam for war.”,https://www.politifact.com/factchecks/2023/oct/23/facebook-posts/a-shrine-in-iran-raised-a-black-flag-in-mourning-n/,N/A,Facebook posts,false
Video shows Russia attacking Israel in October 2023.,https://www.politifact.com/factchecks/2023/oct/23/tiktok-posts/no-this-video-doesnt-show-russia-attacking-israel/,N/A,TikTok posts,false
Video shows CNN interviewing “actors.”,https://www.politifact.com/factchecks/2023/oct/23/tiktok-posts/unfounded-claims-about-crisis-actors-amid-israel-h/,N/A,TikTok posts,false
"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",https://www.politifact.com/factchecks/2023/oct/20/vivek-ramaswamy/vivek-ramaswamy-claims-russia-leads-the-us-in-hype/,N/A,Vivek Ramaswamy,half-true
"""AHORA: Manifestantes pro palestinos y policías se enfrentaron en las calles de Barcelona, ​​España. Las protestas son parte de represalias después del bombardeo de un hospital en Gaza"".",https://www.politifact.com/factchecks/2023/oct/20/facebook-posts/video-no-muestra-disturbios-en-una-manifestacion-p/,N/A,Facebook posts,false
"Video shows North Korean President Kim Jong Un blaming President Joe Biden for the Israel-Hamas war and Russia’s invasion of Ukraine, and saying, “I support Donald Trump for President in 2024.”",https://www.politifact.com/factchecks/2023/oct/20/instagram-posts/north-koreas-kim-jong-un-delivered-this-speech-in/,N/A,Instagram posts,false
"“In the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and you know how many beds we have to detain people at the border? Thirty-eight thousand.""",https://www.politifact.com/factchecks/2023/oct/20/chris-christie/chris-christies-math-on-apprehensions-and-detentio/,N/A,Chris Christie,mostly-true
A video shows “a car carrying men waving the Palestinian flag abruptly and dangerously stopping traffic to run ‘donuts.’”,https://www.politifact.com/factchecks/2023/oct/20/instagram-posts/car-that-disrupted-traffic-in-new-york-waved-puert/,N/A,Instagram posts,false
“Nikki Haley argues in support of bringing Gaza refugees to America.”,https://www.politifact.com/factchecks/2023/oct/20/never-back-down-pac/no-nikki-haley-didnt-say-she-wants-the-us-to-take/,N/A,Never Back Down PAC,false
Joe Biden advirtió el 15 de octubre de 2023 “que Corea del Norte podría estar preparando un ataque parecido al Hamas en Israel pero este sería en suelo americano”.,https://www.politifact.com/factchecks/2023/oct/20/facebook-posts/no-joe-biden-no-advirtio-en-octubre-de-2023-de-un/,N/A,Facebook posts,false
“2022 was the biggest tourism year ever in West Virginia”,https://www.politifact.com/factchecks/2023/oct/20/jim-justice/is-gov-jim-justice-right-that-west-virginia-had-it/,N/A,Jim Justice,half-true
"Video shows a family learning their debt was resolved by the “American Debt Relief program” for American citizens and legal residents who “have over $20,000” in credit card debt.",https://www.politifact.com/factchecks/2023/oct/20/facebook-posts/no-debt-relief-program-will-settle-debt-for-you-bu/,N/A,Facebook posts,false
"“A partir de ahora la milicia de Hamas se vio obligada a rendirse al ejército Israeli, ondeando sus banderas blancas"".",https://www.politifact.com/factchecks/2023/oct/19/facebook-posts/hamas-no-se-ha-rendido-a-israel-a-pesar-de-declara/,N/A,Facebook posts,false
“The Inflation Reduction Act led to higher taxes.”,https://www.politifact.com/factchecks/2023/oct/19/americans-prosperity/fact-checking-how-much-the-inflation-reduction-act/,N/A,Americans for Prosperity,barely-true
